,show/id,show/canonical_name,show/clips_count,show/description,show/episodes_count,show/feature_films_count,show/genre,show/genres,show/is_movie,show/is_showtime_only,show/rating,show/series_id,show/company/name,Classics_Classics,Drama_Drama,Drama~Crime and Courtroom Drama_Drama~Crime and Courtroom Drama,Drama~Medical Drama_Drama~Medical Drama,Drama~Mystery_Drama~Mystery,Drama~Police Drama_Drama~Police Drama,Drama~Romance_Drama~Romance,Drama~Soap Operas_Drama~Soap Operas,Family_Family,Health and Wellness_Health and Wellness,Horror and Suspense_Horror and Suspense,International~Japanese_International~Japanese,Kids_Kids,Latino_Latino,Lifestyle~Fashion and Beauty_Lifestyle~Fashion and Beauty,Music_Music,Music~Musicals_Music~Musicals,News and Information~Talk and Interview_News and Information~Talk and Interview,Science Fiction_Science Fiction,Science Fiction~Science Fiction - Thriller_Science Fiction~Science Fiction - Thriller,Teen_Teen,Videogames_Videogames,Animation,Anime,Action,Comedy,Food,Reality
67,5725,jersey-shore,33,"Young adults move into a summer share to indulge in everything Seaside Heights, New Jersey has to offer. Jersey Shore uncovers sometimes surprising, often hilarious and usually over-the-top personalities.",74,0,Reality and Game Shows,Reality and Game Shows~Real Life Drama|Teen,False,False,3.5956574,50002718,MTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,2440,general-hospital,1052,"Murder, mob wars, and mansions? It’s just all in a day’s work for the residents of Port Charles, New York. With such notable characters as Sonny Corinthos (Maurice Benard) and Jason Morgan (Billy Miller), there’s never a dull moment – especially when you add to the mix their long-time revolving love affairs with Carly (Laura Wright), Samantha (Kelly Monaco), Elizabeth (Rebecca Herbst), Olivia (Lisa LoCicero), and Claudia (Sarah Brown). Couples like Robin and Patrick (Kimberly McCullough and Jason Thompson) and Maxie and Spinelli (Kirsten Storms and Bradford Anderson), and families like the quarreling (but lovable) Quartermaines, even out this dysfunctional town.",10,0,Drama,Drama~Soap Operas|Drama~Medical Drama,False,False,3.8199223860000004,12154,ABC,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,24499,blindspot,49,"A vast international plot explodes when a beautiful Jane Doe is discovered naked in Times Square, completely covered in mysterious, intricate tattoos with no memory of who she is or how she got there. But there's one tattoo that is impossible to miss: the name of FBI agent Kurt Weller, emblazoned across her back. ""Jane,"" Agent Weller and the rest of the FBI quickly realize that each mark on her body is a crime to solve, leading them closer to the truth about her identity and the mysteries to be revealed. From Executive Producer Greg Berlanti (""The Mysteries of Laura,"" ""The Flash,"" ""Arrow"").",45,0,Drama,Drama~Crime and Courtroom Drama|Drama~Mystery,False,False,4.522517065,50022748,NBC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6375,happy-endings,139,"Forget who gets to keep the ring, when a couple splits, the real question is, who gets to keep the friends? In this modern comedy, a couple's break up will complicate all of their friends' lives and make everyone question their choices. When life throws you for a curve, hold on tight to the people you love.",57,0,Comedy,Comedy,False,False,4.3547987610000005,50003196,Sony Pictures Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,12666,catfish-the-tv-show,78,Catfish:  The TV Show brings together couples who've interacted solely through LCD screens.  Over the course of months they've supposedly fallen in love -- but what will happen when they meet in real life for the first time?,77,0,Reality and Game Shows,Reality and Game Shows~Real Life Drama|Teen,False,False,4.198490154,50009956,MTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
72,2526,jimmy-kimmel-live,1605,"ABC’s distinctive late-night talk show features a diverse lineup of guests, including celebrities, athletes, comedians, politicians and human interest subjects. Along with a light-hearted and recognizable cast of characters, a hip house band and comedy bits in host Jimmy Kimmel’s inimitable style, the show additionally offers one of the funniest, freshest monologues on television today, drawing from all forms of topical media.",16,0,News and Information,News and Information~Talk and Interview|Comedy~Late Night Comedy,False,False,3.2966858460000004,12137,ABC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
73,2295,the-cleveland-show,0,"Everyone's favorite soft-spoken neighbor Cleveland Brown moves to his hometown in Virginia with his 14-year old son, Cleveland JR. Many years ago, Cleveland was a high school student madly in love with a beautiful girl named Donna. Much to his dismay, his love went unrequited, and Donna wound up marrying another man. Cleveland once told Donna he would always love her, and if this man ever done her wrong, he'd be there when she called. Well, this man done her wrong.",88,0,Animation and Cartoons,Animation and Cartoons~Primetime Animation|Comedy~Sitcoms,False,False,3.621983592,11940,FOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
74,183,project-runway,163,"Project Runway is a reality competition where fashion designers fight for their big break in the fashion industry.  Designers compete in weekly challenges, presenting their work on the runway.",88,0,Health and Wellness,Health and Wellness|Reality and Game Shows~Competition|Lifestyle~Fashion and Beauty|Teen|Family,False,False,3.884819104,2327,Lifetime,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
75,12745,survivor,0,Sixteen castaways sign up to be marooned on a tropical island in the ultimate battle for survival -- and a $1 million prize.,319,0,Teen,Teen|Reality and Game Shows~Competition|Family,False,False,4.002237913,50010097,CBS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
76,20608,homeland,11,"HOMELAND is an edge-of-your-seat sensation. CIA officer Carrie Mathison is volatile and unpredictable. With the help of her mentor Saul Berenson, she fearlessly risks everything, including her sanity, at every turn.",72,0,Drama,Drama,False,False,4.69207411,50018691,SHOWTIME,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
